registryid,x,y,county_fips,state_fips,state_nuclear_restrictions,state_electricity_price,state_net_electricity_imports,state_nuclear_inclusive_policy,pop_weight_svi,traditionally_regulated_state_energy_market,state_construction_labor_5yr_mean_annual_wage,count_protected_lands,count_hazardous_facilities_within_5mi,fault_line_hazard,landslide_hazard,max_pga_lt_0o3g,hundred_year_flood_zone,open_water_or_wetland,pop_weight_sentiment,slope_lt_12pct,population_center_dist,ret_facility_dist,count_nuclear_rd_within_100mi,substation_dist,road_dist,streamflow_50kgpm_within_20mi
C1024,-86.8992,40.048889,18107.0,18,0,11.2888888888888,12707,1,0.571760042782889,1,39630,0.0,2.0,1,1,1,1,1,0.407296795472399,1,36.3217039608883,51.2577396343113,1,0.101175980973033,0.03430375186705,1
C1040,-84.8953,39.8028,18177.0,18,0,11.9544444444444,12707,1,0.737724929279792,1,39630,0.0,4.0,1,1,1,1,1,0.383413165375685,1,72.5622866519995,78.0586575288012,0,0.0754807169379132,0.0365685700943073,0
C1047,-91.1675,43.3359,19005.0,19,0,10.7666666666666,-5401,0,0.538465845536332,1,37572,0.0,0.0,1,1,1,1,0,0.409165598619513,1,44.6192118149281,0.0,0,0.0328230590738025,0.0740741413601134,1
C1073,-91.63917,41.944039,19113.0,19,0,9.16888888888888,-5401,0,0.63651010340665,1,37572,0.0,5.0,1,1,1,1,0,0.438905850940435,1,86.2196951113354,87.2499514324356,0,0.0667926105512852,0.046470823835256,0
C1082,-95.8408,41.18,19155.0,19,0,11.4288888888888,-5401,0,0.688900099541727,1,37572,0.0,5.0,1,1,1,1,0,0.433439267942265,1,39.187612243953,0.0,0,0.143809572526305,0.0472740396430839,1
C1091,-96.36171,42.299794,19193.0,19,0,10.14,-5401,0,0.652803931418728,1,37572,0.0,2.0,1,1,1,1,1,0.421560937447602,1,17.8357171512073,0.131424336296547,0,0.199860542466336,0.0933106197026772,1
C1104,-91.11667,40.7412,19057.0,19,0,9.41333333333333,-5401,0,0.754573056699587,1,37572,0.0,2.0,1,1,1,1,0,0.393809956263546,1,51.8984264389055,147.535467613889,0,0.112504709610892,0.307504399150207,1
C1167,-91.0569,41.3917,19139.0,19,0,9.16888888888888,-5401,0,0.52174429046299,1,37572,0.0,2.0,1,1,1,1,1,0.456699233506815,1,39.4665076870857,7.22971209079457,0,0.0260390633756241,0.321892052817439,1
C1241,-94.6456,38.3481,20107.0,20,0,11.2888888888888,-7317,0,0.437462451336483,1,35474,0.0,1.0,1,1,1,1,1,0.408542521042182,1,16.4574470702749,0.501315215106258,0,0.307902121001085,0.0260851003576672,1
C1250,-95.26917,39.0072,20045.0,20,0,10.7422222222222,-7317,0,0.741301610033787,1,35474,0.0,3.0,1,1,1,1,0,0.408042516944839,1,37.6709488850594,59.8833569811857,1,0.0109145605079534,0.138450820299158,1
C1355,-84.71257,37.78831,21167.0,21,0,8.76111111111111,8059,0,0.885616055043201,1,36214,0.0,0.0,1,1,1,1,1,0.414142852769618,1,33.7366399563878,86.3687639706533,0,0.112021698314551,0.0783502480954531,1
C1356,-85.035,38.7497,21041.0,21,0,10.14,8059,0,0.579218900070273,1,36214,0.0,1.0,1,1,1,1,1,0.396600880344556,1,26.8373828853151,17.8963399761456,0,0.340552983583075,0.193926861891286,1
C1364,-85.9103,38.0525,21111.0,21,0,12.8755555555555,8059,0,0.726592226419134,1,36214,0.0,1.0,1,1,1,1,1,0.413278132627568,1,23.0978915103081,27.8977369140539,0,0.193875098402935,0.0762795557554943,1
C1379,-88.775,37.1517,21145.0,21,0,9.16888888888888,8059,0,0.740424047418492,1,36214,0.0,2.0,1,1,1,1,1,0.396907852864214,1,19.0151537786803,94.6695420032246,0,0.249199694661483,0.324944278984483,1
C1384,-84.5919,36.9981,21199.0,21,0,8.88111111111111,8059,0,0.48200187446648,1,36214,0.0,3.0,1,0,1,1,0,0.389684081461638,1,102.487634274483,93.390829816104,1,0.11791584522512,0.098122288943375,1
C1393,-93.2911,30.2844,22019.0,22,0,9.85555555555555,19849,0,0.792673138523695,0,34416,0.0,6.0,1,1,1,1,1,0.414412197804447,1,19.7550892242529,0.0,0,0.161840277057891,1.77208465818092,1
C1554,-76.5268,39.1781,24003.0,24,0,11.9544444444444,25934,0,0.417010387105169,1,34766,0.0,6.0,1,1,1,1,1,0.406160096240188,1,4.35429215638328,0.0,1,0.131310187587433,0.153863828355581,0
C1573,-76.9767,38.3592,24017.0,24,0,7.91333333333333,25934,0,0.110875991633487,1,34766,0.0,2.0,1,1,1,1,1,0.422358457357737,1,75.2412411989417,73.8385631967373,1,0.20816424690036,0.128953807454831,0
C1702,-83.84007,43.644996,26017.0,26,0,15.8255555555555,-7468,0,0.493886236263877,0,39690,0.0,2.0,1,1,1,1,1,0.406641967532677,1,5.13734550027969,0.0,0,0.181547391783159,0.276008350866171,1
C1710,-86.20074,42.910296,26139.0,26,0,12.6855555555555,-7468,0,0.452999380180746,0,39690,0.0,1.0,1,1,1,1,1,0.435390546700666,1,21.4163870532037,1.69262632729923,0,0.0414070484067789,0.051045520760528,1
C1733,-83.3464,41.8906,26115.0,26,0,10.8466666666666,-7468,0,0.442792544639932,1,39690,0.0,2.0,1,1,1,1,1,0.452859013255494,1,16.1909717479433,70.7327156768834,0,0.261972010232613,0.122998375986608,1
C1743,-82.4719,42.7642,26147.0,26,0,12.6466666666666,-7468,0,0.162196161727245,1,39690,0.0,4.0,1,1,1,1,1,0.412938337274177,1,16.8497360011802,42.7435070530387,0,0.1887889247719,0.179551594926957,1
C1745,-83.1808,42.1217,26163.0,26,0,12.6855555555555,-7468,0,0.427184508860149,0,39690,0.0,4.0,1,1,1,1,1,0.43944975662752,1,35.5967020502851,19.3245333974274,0,0.171652194473649,0.257177792281824,1
C1832,-84.65722,42.692222,26045.0,26,0,8.76111111111111,-7468,0,0.877268839539616,1,39690,0.0,1.0,1,1,1,1,0,0.410070749443415,1,22.5418785165806,95.8902776171591,0,0.191114031483492,0.0440637463781367,1
C1893,-93.6528,47.2611,27061.0,27,1,14.8655555555555,12734,0,0.590417191918447,1,50780,0.0,1.0,1,1,1,1,0,0.414595705694849,1,54.6235111311065,0.0,0,0.0765920900218153,0.122698100380884,1
C1915,-92.7786,45.03,27163.0,27,1,10.8466666666666,12734,0,0.453010245248337,1,50780,2.0,4.0,1,1,1,1,0,0.437428341818942,1,0.943742038834132,72.93172964218,0,0.177066610136973,0.274198608168413,1
C1979,-92.935,47.4294,,27,1,9.16888888888888,12734,0,0.4000076285366,1,50780,1.0,2.0,1,1,1,1,1,0.402401187942965,1,3.22830584749154,30.7780803180347,0,0.0534729793392493,0.100887710217226,1
C2079,-94.4778,39.1306,29095.0,29,0,9.16888888888888,5253,0,0.364235972472744,1,47082,1.0,7.0,1,0,1,1,0,0.40144534666679,1,3.95938457644933,37.6064839055073,0,0.128927294730145,0.289294834137534,1
C2103,-90.83769,38.562244,29071.0,29,0,9.18666666666666,5253,0,0.294729296266668,1,47082,1.0,1.0,1,1,1,1,1,0.395476568963551,1,6.84999817585276,62.8482971039141,1,0.238901159189321,0.0747777351965368,1
C2104,-90.3358,38.4017,29189.0,29,0,9.16888888888888,5253,0,0.199661701433573,1,47082,0.0,2.0,1,1,1,1,1,0.386685512259646,1,4.20525299580002,17.8035181698264,0,0.146363616745069,0.0901289743982355,1
C2107,-90.29025,38.915479,29183.0,29,0,12.1533333333333,5253,0,0.56115557360839,0,47082,0.0,1.0,1,1,1,1,1,0.396606111234053,1,3.2270317227958,37.9769737544329,0,0.216114520759829,0.13853770337599,1
C2167,-89.5617,36.5147,29143.0,29,0,12.1533333333333,5253,0,0.570169428098828,0,47082,0.0,1.0,1,0,1,1,0,0.398025208825123,1,0.592735709331453,40.530377327415,0,0.37930699224849,0.106081978822404,1
C2168,-92.6381,39.5522,29175.0,29,0,10.8999999999999,5253,0,0.535660941103579,1,47082,0.0,0.0,1,0,1,1,1,0.392746973017291,1,2.47920415348012,89.6718594977774,1,0.381950568969394,0.103513365988458,1
C2240,-96.4623,41.4281,31053.0,31,0,12.6855555555555,-4762,0,0.500698563300873,0,34198,0.0,3.0,1,1,1,1,0,0.428681478398258,1,25.3426330912763,24.0969700854841,0,0.0688306059796158,0.0710088964236077,1
C2277,-96.7847,40.5589,31109.0,31,0,14.05,-4762,0,0.368071545188786,0,34198,0.0,0.0,1,1,1,1,1,0.432047522862932,1,95.0797662223875,109.678211859253,0,0.120764857298974,0.0857247936783923,1
C2291,-95.94466,41.32909,31055.0,31,0,12.6855555555555,-4762,0,0.46939426959357,0,34198,0.0,6.0,1,1,1,0,1,0.428839253184768,1,8.72249544212294,27.6085111380809,0,0.136792391116665,0.0711108624970885,1
C2364,-71.4692,43.1411,33013.0,33,0,10.9388888888888,-6623,0,0.345162143930054,0,38740,0.0,1.0,1,0,1,1,0,0.445056661862799,1,44.9773108535102,106.061318810535,2,0.0763755820330422,0.105845958505513,1
C2367,-70.7842,43.0978,33015.0,33,0,12.6466666666666,-6623,0,0.0300249261738391,1,38740,0.0,5.0,1,1,1,0,1,0.434708520523144,1,68.440663976797,78.2248820963537,2,0.132959348872925,0.0292798999752588,1
C2442,-108.4814,36.69,35045.0,35,0,11.6155555555555,-8755,1,0.459359927729266,1,32068,1.0,0.0,1,1,1,1,1,0.431162086574822,1,2.34311469513852,134.322049078507,0,0.360380055964844,0.379836568332354,1
C2451,-108.4386,36.8006,35045.0,35,0,12.1533333333333,-8755,1,0.601649609509099,0,32068,0.0,1.0,1,1,1,1,1,0.430678084616441,1,4.87635507905856,14.4746589385553,0,0.295820593488073,9.68244201728464,1
C2554,-79.34663,42.491467,36013.0,36,0,12.6855555555555,23833,1,0.463617366710261,0,52148,0.0,0.0,1,1,1,1,1,0.419461478658738,1,18.2015251715774,3.6433403614684,0,0.134866561226601,0.0873843131947677,1
C2712,-79.0731,36.4833,37145.0,37,0,14.05,14875,1,0.458569931131306,0,30384,0.0,0.0,1,0,1,1,1,0.426619044701122,1,209.498061166985,205.291564051511,1,0.207729383688614,0.0607883308587937,1
C2718,-81.0122,35.1897,37071.0,37,0,10.8766666666666,14875,1,0.73520126856177,1,30384,0.0,8.0,1,0,1,1,1,0.475384423498655,1,27.778985267818,131.331453021669,0,0.0868578282436509,0.283847921222088,1
C2721,-81.7594,35.22,37161.0,37,0,12.1533333333333,14875,1,0.47821695281272,0,30384,0.0,1.0,1,0,1,1,0,0.44432110716497,1,30.4755007243519,14.5190322664815,0,0.0638253637916553,0.0401150407403377,1
C2727,-80.9658,35.5975,37035.0,37,0,12.6466666666666,14875,1,0.734934591364424,1,30384,0.0,4.0,1,0,1,1,0,0.468459804075383,1,5.49305009992821,0.439815089367362,0,0.137940623945395,0.0092316041122812,1
C2790,-100.8836,46.8669,38059.0,38,0,11.7244444444444,-18183,0,0.497760383930302,1,41504,0.0,6.0,1,0,1,1,0,0.389129055471258,1,220.721674549135,231.765091161678,0,0.115739670756541,0.0214700197762879,0
C2817,-101.3212,47.280769,38057.0,38,0,9.41333333333333,-18183,0,0.895869043342533,1,41504,0.0,0.0,1,0,1,1,0,0.428103251802909,1,21.8037991488904,78.767013983142,0,0.268007395228013,0.385571464579904,1
C2823,-101.2131,47.065854,38065.0,38,0,9.85555555555555,-18183,0,0.856198109327235,0,41504,0.0,0.0,1,0,1,1,0,0.419595932501061,1,15.3077234182069,81.1526064358971,0,0.177032071210052,17.3703549585283,1
C2828,-80.6486,40.2522,39081.0,39,0,10.8466666666666,37952,1,0.460490302691285,1,43920,0.0,1.0,1,0,1,1,0,0.402799432750275,1,6.64638122755785,68.481587976732,0,0.170462820295147,0.0574288929805743,1
C2832,-84.8036,39.1128,39061.0,39,0,10.9055555555555,37952,1,0.25847410129875,0,43920,0.0,7.0,1,0,1,1,0,0.425573981193136,1,57.1698381016926,0.0,0,0.170865400794705,0.232278547793006,1
C2836,-82.05462,41.504453,39093.0,39,0,12.1533333333333,37952,1,0.60902474271934,0,43920,0.0,2.0,1,1,1,1,1,0.399268721441176,0,1.05499276229499,19.8258079660602,0,0.240621125525899,0.15292443185737,1
C2866,-80.6319,40.5317,39081.0,39,0,14.05,37952,1,0.347361984049239,0,43920,0.0,2.0,1,0,1,1,1,0.421905990194284,1,33.5922378829993,28.6872065363708,0,0.142382900862155,0.135954586925841,1
