registryid,x,y,county_fips,state_fips
C8042,-80.0603,36.2811,37169,37
C8066,-108.7875,41.7378,56037,56
C8069,-111.0781,39.3792,49015,49
C8102,-82.1158,38.9347,39053,39
C8219,-104.7058,38.633451,08041,08
C8222,-101.8157,47.221447,38057,38
C8223,-109.1639,34.3186,04001,04
C8224,-117.1516,40.881317,32013,32
C8226,-79.7906,40.5383,42003,42
C10043,-75.40667,39.7928,34015,34
C10075,-90.9114,47.5314,27031,27
C10113,-76.1983,40.7903,42107,42
C10143,-78.8,40.55,42021,42
C10151,-80.16314,39.561831,54049,54
C10234,-89.78,44.43,55141,55
C10343,-76.45295,40.811189,42097,42
C10504,-114.4328,42.5328,16083,16
C10566,-75.48581,39.693494,34033,34
C10603,-78.7472,40.455,42021,42
C10671,-94.6458,35.1931,40079,40
C10678,-78.74533,39.595171,24001,24
C10684,-117.3833,35.765,06071,06
C10743,-79.96056,39.6397,54061,54
C10784,-106.6547,45.9752,30087,30
C10849,-91.26053,47.286573,27075,27
C10860,-90.2097,41.8206,19045,19
C10861,-93.58452,41.624438,19153,19
C10862,-96.61449,40.866463,31109,31
C10863,-93.99242,44.187066,27013,27
C10864,-91.6875,41.9221,19113,19
C10865,-88.89076,39.870074,17115,17
C10867,-88.93194,39.84919,17115,17
C50397,-76.86812,39.870935,42133,42
C50481,-82.5431,36.5219,47163,47
C50611,-76.45,40.6191,42107,42
C50776,-75.8781,40.8556,42025,42
C50835,-86.28905,44.217299,26101,26
C50888,-75.4792,40.6917,42095,42
C50900,-79.9947,37.799722,51005,51
C50933,-89.4205,45.6394,55085,55
C50951,-110.3917,39.5472,49007,49
C50974,-79.8134,41.2691,42121,42
C54098,-88.2534,44.2826,55087,55
C54210,-97.06311,47.437562,38097,38
C54211,-96.76112,46.9026,27027,27
C54212,-96.63338,47.76468,27119,27
C54213,-97.17608,48.593158,38067,38
C54214,-97.00715,47.927202,27119,27
C54276,-79.0617,35.9069,37135,37
C54318,-109.7542,41.5933,56037,56
C54533,-95.17979,44.796405,27129,27
C54556,-87.8233,41.7775,17031,17
C54634,-76.1736,40.8222,42107,42
C54867,-86.6443,46.4094,26003,26
C55076,-89.2183,33.3761,28019,28
C55479,-105.3833,44.2858,56005,56
C55749,-107.6,45.7578,30003,30
C55856,-89.66694,38.279167,17189,17
C56068,-87.8336,42.8492,55079,55
C56224,-116.5297,40.7461,32011,32
C56319,-105.3811,44.2919,56005,56
C56456,-89.9489,35.6644,05093,05
C56564,-93.81194,33.649722,05057,05
C56596,-105.3806,44.2919,56005,56
C56609,-105.4608,44.388889,56005,56
C56611,-96.95715,31.474378,48309,48
C56671,-79.95897,39.707893,54061,54
C56808,-82.33806,36.916389,51195,51
C57046,-97.28633,41.416442,31141,31
C57914,-104.1356,47.717222,30083,30
C57915,-109.8119,41.621667,56037,56
C57928,-89.215,37.711944,17077,17
C57937,-103.6344,41.85887,31157,31
C57949,-83.44722,43.741111,26063,26
C62319,-108.4992,45.765346,30111,30
