"registryid","x","y","county_fips","state_fips","state_nuclear_restrictions","state_electricity_price","state_net_electricity_imports","state_nuclear_inclusive_policy","traditionally_regulated_state_energy_market","state_construction_labor_5yr_mean_annual_wage","count_protected_lands","count_hazardous_facilities_within_5mi","fault_line_hazard","landslide_hazard","max_pga_lt_0o3g","hundred_year_flood_zone","slope_lt_12pct","open_water_or_wetland","streamflow_50kgpm_within_20mi","count_nuclear_rd_within_100mi"
"110000436813","-89.035837","42.492722","17201","17","{2,4}","11.9869230769231",-34739,False,False,59038,1,4,True,True,True,True,True,True,True,1
"110000592500","-86.19705","41.07214","18049","18",NULL,"11.6746153846154",12707,True,True,39630,NULL,1,True,True,True,NULL,True,True,True,1
"110000610848","-73.037395","41.541819","09009","09","{4}","23.84",-9594,True,False,48826,NULL,3,True,True,True,NULL,True,True,True,1
"110003266670","-90.11734","29.92122","22071","22",NULL,"9.20538461538461",19849,False,True,34416,1,7,True,False,True,NULL,True,True,True,0
"110003473633","-73.14063","42.46685","25003","25","{2,7}","22.9169230769231",33434,False,True,54582,NULL,2,True,True,True,NULL,True,True,True,1
"110003507009","-76.58315","39.26604","24510","24",NULL,"14.3053846153846",25934,False,True,34766,NULL,7,True,True,True,NULL,True,True,NULL,1
"110003509409","-76.36834","39.36231","24005","24",NULL,"14.3053846153846",25934,False,True,34766,NULL,4,True,True,True,NULL,True,False,True,1
"110003556465","-69.007899","44.425819","23027","23","{4,7}","20.2846153846154",4068,False,False,33282,NULL,1,True,True,True,NULL,True,True,True,0
"110003561529","-84.042605","41.899639","26091","26",NULL,"13.5746153846154",-7468,False,False,39690,2,1,True,True,True,NULL,True,True,True,0
"110003569442","-86.460414","42.122316","26021","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,3,True,False,True,True,True,False,True,0
"110003578502","-85.633064","41.946445","26149","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,NULL,True,True,True,NULL,True,True,True,0
"110003598651","-84.549389","42.751621","26065","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,4,True,True,True,NULL,True,True,True,0
"110003601442","-85.83137","42.53371","26005","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,2,True,True,True,NULL,True,True,True,0
"110003617042","-83.11333","42.45855","26125","26",NULL,"13.5746153846154",-7468,False,False,39690,1,4,True,True,True,NULL,True,True,True,0
"110003628995","-83.28767","42.38058","26163","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,4,True,False,True,NULL,True,True,True,0
"110003641854","-84.77113","43.81879","26035","26",NULL,"13.5746153846154",-7468,False,False,39690,2,1,True,True,True,NULL,True,True,True,0
"110003661494","-85.303931","42.643576","26015","26",NULL,"13.5746153846154",-7468,False,False,39690,2,2,True,True,True,NULL,True,True,True,0
"110003664703","-83.1905","42.21287","26163","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,7,True,False,True,NULL,True,True,True,0
"110003676282","-83.93858","43.4307","26145","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,2,True,False,True,NULL,True,True,True,0
"110003679546","-83.440945","43.453645","26157","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,2,True,True,True,NULL,True,True,True,0
"110003699702","-83.09533","42.40809","26163","26",NULL,"13.5746153846154",-7468,False,False,39690,1,3,True,True,True,NULL,True,True,True,0
"110003702627","-85.81597","44.91282","26089","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,1,True,True,True,NULL,True,True,True,0
"110003703831","-86.46333","42.11184","26021","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,3,True,False,True,NULL,True,True,True,0
"110003716104","-84.11743","43.1973","26145","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,NULL,True,True,True,NULL,True,True,True,0
"110003747143","-93.18723","45.02219","27123","27","{6}","12.1276923076923",12734,False,True,50780,NULL,6,True,True,True,NULL,True,True,True,0
"110004146843","-74.27696","40.501081","34023","34","{1,5}","15.1738461538462",8762,False,False,54244,NULL,7,True,True,True,NULL,True,False,True,0
"110005400869","-117.38122","47.65847","53063","53",NULL,"9.54",-9445,True,True,48534,NULL,8,True,True,True,NULL,True,True,True,1
"110005424745","-88.54752","42.66617","55127","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,4,True,True,True,NULL,True,True,True,2
"110005426690","-88.93654","44.32217","55135","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,3,True,True,True,NULL,True,False,True,0
"110005430373","-87.952096","43.320686","55089","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,3,True,True,True,NULL,True,True,True,0
"110005431513","-87.98035","43.00612","55079","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,7,True,True,True,NULL,True,True,True,0
